
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
18.310	0.017	0.000	43.633	4.1667E-4	0.000	1.042	18.310	0.087	0.000	0.000	0.0021	0.000	0.000	3.662	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.320	0.017	0.000	0.000	4.1667E-4	0.000	0.000	18.320	0.087	0.000	43.633	0.0021	0.000	1.042	3.664	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.330	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	18.330	0.087	0.873	43.633	0.0021	0.021	1.042	3.666	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.340	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042	18.340	0.105	0.873	-43.633	0.0025	0.021	-1.042	3.668	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.350	0.000	-0.873	43.633	0.0000	-0.021	1.042	18.350	0.105	0.000	-43.633	0.0025	0.000	-1.042	3.670	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.360	0.000	0.000	43.633	0.0000	0.000	1.042	18.360	0.105	0.000	0.000	0.0025	0.000	0.000	3.672	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.370	0.000	0.000	-43.633	0.0000	0.000	-1.042	18.370	0.105	0.000	43.633	0.0025	0.000	1.042	3.674	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.380	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	18.380	0.105	0.873	43.633	0.0025	0.021	1.042	3.676	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.390	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	18.390	0.122	0.873	-43.633	0.0029	0.021	-1.042	3.678	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.400	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	18.400	0.122	0.000	-43.633	0.0029	0.000	-1.042	3.680	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.410	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	18.410	0.122	0.000	0.000	0.0029	0.000	0.000	3.682	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.420	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	18.420	0.122	0.000	0.000	0.0029	0.000	0.000	3.684	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.430	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042	18.430	0.122	0.000	43.633	0.0029	0.000	1.042	3.686	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.440	-0.035	-0.873	43.633	-8.3333E-4	-0.021	1.042	18.440	0.122	0.873	43.633	0.0029	0.021	1.042	3.688	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.450	-0.035	0.000	43.633	-8.3333E-4	0.000	1.042	18.450	0.140	0.873	-43.633	0.0033	0.021	-1.042	3.690	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.460	-0.035	0.000	-43.633	-8.3333E-4	0.000	-1.042	18.460	0.140	0.000	-43.633	0.0033	0.000	-1.042	3.692	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.470	-0.035	-0.873	-43.633	-8.3333E-4	-0.021	-1.042	18.470	0.140	0.000	0.000	0.0033	0.000	0.000	3.694	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.480	-0.052	-0.873	43.633	-0.0012	-0.021	1.042	18.480	0.140	0.000	0.000	0.0033	0.000	0.000	3.696	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.490	-0.052	0.000	43.633	-0.0012	0.000	1.042	18.490	0.140	0.000	43.633	0.0033	0.000	1.042	3.698	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.500	-0.052	0.000	0.000	-0.0012	0.000	0.000	18.500	0.140	0.873	43.633	0.0033	0.021	1.042	3.700	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.510	-0.052	0.000	0.000	-0.0012	0.000	0.000	18.510	0.157	0.873	-43.633	0.0037	0.021	-1.042	3.702	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.520	-0.052	0.000	-43.633	-0.0012	0.000	-1.042	18.520	0.157	0.000	-43.633	0.0037	0.000	-1.042	3.704	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.530	-0.052	-0.873	-43.633	-0.0012	-0.021	-1.042	18.530	0.157	0.000	0.000	0.0037	0.000	0.000	3.706	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.540	-0.070	-0.873	43.633	-0.0017	-0.021	1.042	18.540	0.157	0.000	0.000	0.0037	0.000	0.000	3.708	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.550	-0.070	0.000	43.633	-0.0017	0.000	1.042	18.550	0.157	0.000	0.000	0.0037	0.000	0.000	3.710	-0.314	0.000	0.000	-0.0075	0.000	0.000														
18.560	-0.070	0.000	0.000	-0.0017	0.000	0.000	18.560	0.157	0.000	0.000	0.0037	0.000	0.000	3.712	-0.314	0.000	1090.831	-0.0075	0.000	26.042														
18.570	-0.070	0.000	0.000	-0.0017	0.000	0.000	18.570	0.157	0.000	0.000	0.0037	0.000	0.000	3.714	-0.314	4.363	1090.831	-0.0075	0.104	26.042														
18.580	-0.070	0.000	0.000	-0.0017	0.000	0.000	18.580	0.157	0.000	0.000	0.0037	0.000	0.000	3.716	-0.297	4.363	-1090.831	-0.0071	0.104	-26.042														
18.590	-0.070	0.000	-43.633	-0.0017	0.000	-1.042	18.590	0.157	0.000	0.000	0.0037	0.000	0.000	3.718	-0.297	0.000	-1090.831	-0.0071	0.000	-26.042														
18.600	-0.070	-0.873	-43.633	-0.0017	-0.021	-1.042	18.600	0.157	0.000	43.633	0.0037	0.000	1.042	3.720	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.610	-0.087	-0.873	43.633	-0.0021	-0.021	1.042	18.610	0.157	0.873	43.633	0.0037	0.021	1.042	3.722	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.620	-0.087	0.000	43.633	-0.0021	0.000	1.042	18.620	0.175	0.873	-43.633	0.0042	0.021	-1.042	3.724	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.630	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.630	0.175	0.000	-43.633	0.0042	0.000	-1.042	3.726	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.640	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.640	0.175	0.000	0.000	0.0042	0.000	0.000	3.728	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.650	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.650	0.175	0.000	0.000	0.0042	0.000	0.000	3.730	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.660	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.660	0.175	0.000	0.000	0.0042	0.000	0.000	3.732	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.670	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.670	0.175	0.000	0.000	0.0042	0.000	0.000	3.734	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.680	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.680	0.175	0.000	0.000	0.0042	0.000	0.000	3.736	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.690	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.690	0.175	0.000	0.000	0.0042	0.000	0.000	3.738	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.700	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.700	0.175	0.000	0.000	0.0042	0.000	0.000	3.740	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.710	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.710	0.175	0.000	0.000	0.0042	0.000	0.000	3.742	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.720	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.720	0.175	0.000	0.000	0.0042	0.000	0.000	3.744	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.730	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.730	0.175	0.000	-43.633	0.0042	0.000	-1.042	3.746	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.740	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.740	0.175	-0.873	-43.633	0.0042	-0.021	-1.042	3.748	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.750	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.750	0.157	-0.873	43.633	0.0037	-0.021	1.042	3.750	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.760	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.760	0.157	0.000	43.633	0.0037	0.000	1.042	3.752	-0.297	0.000	0.000	-0.0071	0.000	0.000														
18.770	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.770	0.157	0.000	0.000	0.0037	0.000	0.000	3.754	-0.297	0.000	1090.831	-0.0071	0.000	26.042														
18.780	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.780	0.157	0.000	0.000	0.0037	0.000	0.000	3.756	-0.297	4.363	1090.831	-0.0071	0.104	26.042														
18.790	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.790	0.157	0.000	0.000	0.0037	0.000	0.000	3.758	-0.279	4.363	-1090.831	-0.0067	0.104	-26.042														
18.800	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.800	0.157	0.000	0.000	0.0037	0.000	0.000	3.760	-0.279	0.000	-1090.831	-0.0067	0.000	-26.042														
18.810	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.810	0.157	0.000	0.000	0.0037	0.000	0.000	3.762	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.820	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.820	0.157	0.000	0.000	0.0037	0.000	0.000	3.764	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.830	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.830	0.157	0.000	0.000	0.0037	0.000	0.000	3.766	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.840	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.840	0.157	0.000	-43.633	0.0037	0.000	-1.042	3.768	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.850	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.850	0.157	-0.873	-43.633	0.0037	-0.021	-1.042	3.770	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.860	-0.087	0.000	0.000	-0.0021	0.000	0.000	18.860	0.140	-0.873	43.633	0.0033	-0.021	1.042	3.772	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.870	-0.087	0.000	43.633	-0.0021	0.000	1.042	18.870	0.140	0.000	43.633	0.0033	0.000	1.042	3.774	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.880	-0.087	0.873	43.633	-0.0021	0.021	1.042	18.880	0.140	0.000	0.000	0.0033	0.000	0.000	3.776	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.890	-0.070	0.873	-43.633	-0.0017	0.021	-1.042	18.890	0.140	0.000	0.000	0.0033	0.000	0.000	3.778	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.900	-0.070	0.000	-43.633	-0.0017	0.000	-1.042	18.900	0.140	0.000	-43.633	0.0033	0.000	-1.042	3.780	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.910	-0.070	0.000	0.000	-0.0017	0.000	0.000	18.910	0.140	-0.873	-43.633	0.0033	-0.021	-1.042	3.782	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.920	-0.070	0.000	0.000	-0.0017	0.000	0.000	18.920	0.122	-0.873	43.633	0.0029	-0.021	1.042	3.784	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.930	-0.070	0.000	0.000	-0.0017	0.000	0.000	18.930	0.122	0.000	43.633	0.0029	0.000	1.042	3.786	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.940	-0.070	0.000	43.633	-0.0017	0.000	1.042	18.940	0.122	0.000	0.000	0.0029	0.000	0.000	3.788	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.950	-0.070	0.873	43.633	-0.0017	0.021	1.042	18.950	0.122	0.000	0.000	0.0029	0.000	0.000	3.790	-0.279	0.000	0.000	-0.0067	0.000	0.000														
18.960	-0.052	0.873	-43.633	-0.0012	0.021	-1.042	18.960	0.122	0.000	-43.633	0.0029	0.000	-1.042	3.792	-0.279	0.000	1090.831	-0.0067	0.000	26.042														
18.970	-0.052	0.000	-43.633	-0.0012	0.000	-1.042	18.970	0.122	-0.873	-43.633	0.0029	-0.021	-1.042	3.794	-0.279	4.363	1090.831	-0.0067	0.104	26.042														
18.980	-0.052	0.000	0.000	-0.0012	0.000	0.000	18.980	0.105	-0.873	43.633	0.0025	-0.021	1.042	3.796	-0.262	4.363	-1090.831	-0.0062	0.104	-26.042														
18.990	-0.052	0.000	0.000	-0.0012	0.000	0.000	18.990	0.105	0.000	43.633	0.0025	0.000	1.042	3.798	-0.262	0.000	-1090.831	-0.0062	0.000	-26.042														
19.000	-0.052	0.000	43.633	-0.0012	0.000	1.042	19.000	0.105	0.000	0.000	0.0025	0.000	0.000	3.800	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.010	-0.052	0.873	43.633	-0.0012	0.021	1.042	19.010	0.105	0.000	-43.633	0.0025	0.000	-1.042	3.802	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.020	-0.035	0.873	-43.633	-8.3333E-4	0.021	-1.042	19.020	0.105	-0.873	-43.633	0.0025	-0.021	-1.042	3.804	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.030	-0.035	0.000	-43.633	-8.3333E-4	0.000	-1.042	19.030	0.087	-0.873	43.633	0.0021	-0.021	1.042	3.806	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.040	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	19.040	0.087	0.000	43.633	0.0021	0.000	1.042	3.808	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.050	-0.035	0.000	43.633	-8.3333E-4	0.000	1.042	19.050	0.087	0.000	0.000	0.0021	0.000	0.000	3.810	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.060	-0.035	0.873	43.633	-8.3333E-4	0.021	1.042	19.060	0.087	0.000	-43.633	0.0021	0.000	-1.042	3.812	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.070	-0.017	0.873	-43.633	-4.1667E-4	0.021	-1.042	19.070	0.087	-0.873	-43.633	0.0021	-0.021	-1.042	3.814	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.080	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	19.080	0.070	-0.873	43.633	0.0017	-0.021	1.042	3.816	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.090	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	19.090	0.070	0.000	43.633	0.0017	0.000	1.042	3.818	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.100	-0.017	0.873	43.633	-4.1667E-4	0.021	1.042	19.100	0.070	0.000	0.000	0.0017	0.000	0.000	3.820	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.110	0.000	0.873	-43.633	0.0000	0.021	-1.042	19.110	0.070	0.000	-43.633	0.0017	0.000	-1.042	3.822	-0.262	0.000	0.000	-0.0062	0.000	0.000														
19.120	0.000	0.000	-43.633	0.0000	0.000	-1.042	19.120	0.070	-0.873	-43.633	0.0017	-0.021	-1.042	3.824	-0.262	0.000	1090.831	-0.0062	0.000	26.042														
19.130	0.000	0.000	0.000	0.0000	0.000	0.000	19.130	0.052	-0.873	43.633	0.0012	-0.021	1.042	3.826	-0.262	4.363	1090.831	-0.0062	0.104	26.042														
19.140	0.000	0.000	43.633	0.0000	0.000	1.042	19.140	0.052	0.000	43.633	0.0012	0.000	1.042	3.828	-0.244	4.363	-1090.831	-0.0058	0.104	-26.042														
19.150	0.000	0.873	43.633	0.0000	0.021	1.042	19.150	0.052	0.000	0.000	0.0012	0.000	0.000	3.830	-0.244	0.000	-1090.831	-0.0058	0.000	-26.042														
19.160	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	19.160	0.052	0.000	-43.633	0.0012	0.000	-1.042	3.832	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.170	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	19.170	0.052	-0.873	-43.633	0.0012	-0.021	-1.042	3.834	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.180	0.017	0.000	0.000	4.1667E-4	0.000	0.000	19.180	0.035	-0.873	43.633	8.3333E-4	-0.021	1.042	3.836	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.190	0.017	0.000	43.633	4.1667E-4	0.000	1.042	19.190	0.035	0.000	43.633	8.3333E-4	0.000	1.042	3.838	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.200	0.017	0.873	43.633	4.1667E-4	0.021	1.042	19.200	0.035	0.000	0.000	8.3333E-4	0.000	0.000	3.840	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.210	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	19.210	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	3.842	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.220	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	19.220	0.035	-0.873	-43.633	8.3333E-4	-0.021	-1.042	3.844	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.230	0.035	0.000	0.000	8.3333E-4	0.000	0.000	19.230	0.017	-0.873	43.633	4.1667E-4	-0.021	1.042	3.846	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.240	0.035	0.000	43.633	8.3333E-4	0.000	1.042	19.240	0.017	0.000	43.633	4.1667E-4	0.000	1.042	3.848	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.250	0.035	0.873	43.633	8.3333E-4	0.021	1.042	19.250	0.017	0.000	0.000	4.1667E-4	0.000	0.000	3.850	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.260	0.052	0.873	-43.633	0.0012	0.021	-1.042	19.260	0.017	0.000	0.000	4.1667E-4	0.000	0.000	3.852	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.270	0.052	0.000	-43.633	0.0012	0.000	-1.042	19.270	0.017	0.000	0.000	4.1667E-4	0.000	0.000	3.854	-0.244	0.000	0.000	-0.0058	0.000	0.000														
19.280	0.052	0.000	0.000	0.0012	0.000	0.000	19.280	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	3.856	-0.244	0.000	1090.831	-0.0058	0.000	26.042														
19.290	0.052	0.000	43.633	0.0012	0.000	1.042	19.290	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042	3.858	-0.244	4.363	1090.831	-0.0058	0.104	26.042														
19.300	0.052	0.873	43.633	0.0012	0.021	1.042	19.300	0.000	-0.873	43.633	0.0000	-0.021	1.042	3.860	-0.227	4.363	-1090.831	-0.0054	0.104	-26.042														
19.310	0.070	0.873	-43.633	0.0017	0.021	-1.042	19.310	0.000	0.000	43.633	0.0000	0.000	1.042	3.862	-0.227	0.000	-1090.831	-0.0054	0.000	-26.042														
19.320	0.070	0.000	-43.633	0.0017	0.000	-1.042	19.320	0.000	0.000	0.000	0.0000	0.000	0.000	3.864	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.330	0.070	0.000	0.000	0.0017	0.000	0.000	19.330	0.000	0.000	0.000	0.0000	0.000	0.000	3.866	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.340	0.070	0.000	0.000	0.0017	0.000	0.000	19.340	0.000	0.000	0.000	0.0000	0.000	0.000	3.868	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.350	0.070	0.000	0.000	0.0017	0.000	0.000	19.350	0.000	0.000	0.000	0.0000	0.000	0.000	3.870	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.360	0.070	0.000	43.633	0.0017	0.000	1.042	19.360	0.000	0.000	0.000	0.0000	0.000	0.000	3.872	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.370	0.070	0.873	43.633	0.0017	0.021	1.042	19.370	0.000	0.000	-43.633	0.0000	0.000	-1.042	3.874	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.380	0.087	0.873	-43.633	0.0021	0.021	-1.042	19.380	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	3.876	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.390	0.087	0.000	-43.633	0.0021	0.000	-1.042	19.390	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	3.878	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.400	0.087	0.000	0.000	0.0021	0.000	0.000	19.400	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	3.880	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.410	0.087	0.000	0.000	0.0021	0.000	0.000	19.410	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.882	-0.227	0.000	0.000	-0.0054	0.000	0.000														
19.420	0.087	0.000	0.000	0.0021	0.000	0.000	19.420	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.884	-0.227	0.000	1090.831	-0.0054	0.000	26.042														
19.430	0.087	0.000	0.000	0.0021	0.000	0.000	19.430	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.886	-0.227	4.363	1090.831	-0.0054	0.104	26.042														
19.440	0.087	0.000	0.000	0.0021	0.000	0.000	19.440	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.888	-0.209	4.363	-1090.831	-0.0050	0.104	-26.042														
19.450	0.087	0.000	0.000	0.0021	0.000	0.000	19.450	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.890	-0.209	0.000	-1090.831	-0.0050	0.000	-26.042														
19.460	0.087	0.000	0.000	0.0021	0.000	0.000	19.460	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.892	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.470	0.087	0.000	0.000	0.0021	0.000	0.000	19.470	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.894	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.480	0.087	0.000	0.000	0.0021	0.000	0.000	19.480	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.896	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.490	0.087	0.000	43.633	0.0021	0.000	1.042	19.490	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.898	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.500	0.087	0.873	43.633	0.0021	0.021	1.042	19.500	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.900	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.510	0.105	0.873	-43.633	0.0025	0.021	-1.042	19.510	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.902	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.520	0.105	0.000	-43.633	0.0025	0.000	-1.042	19.520	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.904	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.530	0.105	0.000	0.000	0.0025	0.000	0.000	19.530	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.906	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.540	0.105	0.000	0.000	0.0025	0.000	0.000	19.540	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.908	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.550	0.105	0.000	0.000	0.0025	0.000	0.000	19.550	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	3.910	-0.209	0.000	0.000	-0.0050	0.000	0.000														
19.560	0.105	0.000	0.000	0.0025	0.000	0.000	19.560	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	3.912	-0.209	0.000	1090.831	-0.0050	0.000	26.042														
19.570	0.105	0.000	0.000	0.0025	0.000	0.000	19.570	-0.017	0.873	43.633	-4.1667E-4	0.021	1.042	3.914	-0.209	4.363	1090.831	-0.0050	0.104	26.042														
19.580	0.105	0.000	-43.633	0.0025	0.000	-1.042	19.580	0.000	0.873	-43.633	0.0000	0.021	-1.042	3.916	-0.192	4.363	-1090.831	-0.0046	0.104	-26.042														
19.590	0.105	-0.873	-43.633	0.0025	-0.021	-1.042	19.590	0.000	0.000	-43.633	0.0000	0.000	-1.042	3.918	-0.192	0.000	-1090.831	-0.0046	0.000	-26.042														
19.600	0.087	-0.873	43.633	0.0021	-0.021	1.042	19.600	0.000	0.000	0.000	0.0000	0.000	0.000	3.920	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.610	0.087	0.000	43.633	0.0021	0.000	1.042	19.610	0.000	0.000	0.000	0.0000	0.000	0.000	3.922	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.620	0.087	0.000	0.000	0.0021	0.000	0.000	19.620	0.000	0.000	0.000	0.0000	0.000	0.000	3.924	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.630	0.087	0.000	0.000	0.0021	0.000	0.000	19.630	0.000	0.000	0.000	0.0000	0.000	0.000	3.926	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.640	0.087	0.000	0.000	0.0021	0.000	0.000	19.640	0.000	0.000	0.000	0.0000	0.000	0.000	3.928	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.650	0.087	0.000	0.000	0.0021	0.000	0.000	19.650	0.000	0.000	43.633	0.0000	0.000	1.042	3.930	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.660	0.087	0.000	0.000	0.0021	0.000	0.000	19.660	0.000	0.873	43.633	0.0000	0.021	1.042	3.932	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.670	0.087	0.000	0.000	0.0021	0.000	0.000	19.670	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	3.934	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.680	0.087	0.000	0.000	0.0021	0.000	0.000	19.680	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	3.936	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.690	0.087	0.000	0.000	0.0021	0.000	0.000	19.690	0.017	0.000	0.000	4.1667E-4	0.000	0.000	3.938	-0.192	0.000	0.000	-0.0046	0.000	0.000														
19.700	0.087	0.000	-43.633	0.0021	0.000	-1.042	19.700	0.017	0.000	0.000	4.1667E-4	0.000	0.000	3.940	-0.192	0.000	1090.831	-0.0046	0.000	26.042														
19.710	0.087	-0.873	-43.633	0.0021	-0.021	-1.042	19.710	0.017	0.000	0.000	4.1667E-4	0.000	0.000	3.942	-0.192	4.363	1090.831	-0.0046	0.104	26.042														
19.720	0.070	-0.873	43.633	0.0017	-0.021	1.042	19.720	0.017	0.000	43.633	4.1667E-4	0.000	1.042	3.944	-0.175	4.363	-1090.831	-0.0042	0.104	-26.042														
